analysis_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,amenities,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication
1,Cuauhtémoc,19.4116200,-99.1779400,Entire home,Entire home/apt,14,5.00,8.00,5.50,"[""Piano"", ""Patio or balcony"", ""Wifi"", ""Refrigerator"", ""Microwave"", ""Stainless steel gas stove"", ""Kitchen"", ""Free parking on premises"", ""Host greets you"", ""TV"", ""Free street parking"", ""Shampoo"", ""Washer"", ""Iron"", ""Coffee maker: Nespresso"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Hair dryer"", ""Dishes and silverware"", ""Cooking basics"", ""Portable fans"", ""Backyard"", ""Dryer""]",18000.00,6.00,108000.00,4.59,4.70,4.98,4.47,4.78
2,Cuauhtémoc,19.4397700,-99.1560500,Entire condo,Entire home/apt,2,1.00,1.00,1.00,"[""Self check-in"", ""Dining table"", ""Elevator"", ""Wifi"", ""Hot water"", ""Microwave"", ""Refrigerator"", ""Building staff"", ""Kitchen"", ""Stove"", ""Cleaning products"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""TV"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Coffee maker: Keurig coffee machine"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Freezer"", ""Smoking allowed"", ""Dishes and silverware"", ""Cooking basics""]",591.00,30.00,17730.00,4.87,4.88,4.76,4.79,4.94
3,Benito Juárez,19.3967500,-99.1758100,Private room in rental unit,Private room,2,1.00,1.00,1.00,"[""Elevator"", ""Wifi"", ""Hot water"", ""Microwave"", ""Refrigerator"", ""Paid parking off premises"", ""Kitchen"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Iron"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony""]",321.00,120.00,38520.00,4.84,4.61,4.97,4.83,4.95
4,Miguel Hidalgo,19.4082600,-99.1865900,Entire home,Entire home/apt,16,5.00,10.00,5.00,"[""Pack \u2019n play/Travel crib"", ""Self check-in"", ""Heating"", ""Outdoor dining area"", ""Keypad"", ""Dedicated workspace"", ""Patio or balcony"", ""Wifi"", ""High chair"", ""Hot water"", ""Children\u2019s books and toys"", ""Pocket wifi"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Babysitter recommendations"", ""Kitchen"", ""Housekeeping available from 10:00\u202fAM to 2:00\u202fAM, 3 days a week - available at extra cost"", ""Stove"", ""Free parking on premises"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Free street parking"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Washer"", ""Iron"", ""BBQ grill"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Crib"", ""Ethernet connection"", ""TV with standard cable"", ""Smoking allowed"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Backyard"", ""Dryer"", ""Pets allowed""]",3673.00,168.00,617064.00,4.88,4.84,4.75,4.90,4.89
5,Cuauhtémoc,19.4239000,-99.1689000,Entire loft,Entire home/apt,2,1.00,1.00,1.50,"[""Laundromat nearby"", ""City skyline view"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Elevator"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Stainless steel gas stove"", ""Dishwasher"", ""Paid parking off premises"", ""Kitchen"", ""Board games"", ""Cleaning products"", ""Host greets you"", ""Fast wifi \u2013 204 Mbps"", ""Free street parking"", ""Luggage dropoff allowed"", ""50 inch TV with standard cable"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Bathtub"", ""Coffee"", ""Hangers"", ""Bidet"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Palmolive body soap"", ""Dishes and silverware"", ""Cooking basics"", ""Fire extinguisher""]",1190.00,60.00,71400.00,4.82,4.77,4.90,4.76,4.90
6,Cuauhtémoc,19.4059000,-99.1754800,Entire rental unit,Entire home/apt,1,1.00,1.00,1.00,"[""Hair dryer"", ""Washer"", ""Iron"", ""Refrigerator"", ""Kitchen"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Free parking on premises"", ""Wifi"", ""Dedicated workspace"", ""Essentials"", ""Breakfast"", ""Carbon monoxide alarm"", ""TV with standard cable""]",768.00,18.00,13824.00,4.65,4.35,4.97,4.52,4.87
7,Cuauhtémoc,19.4236000,-99.1697900,Entire rental unit,Entire home/apt,3,1.00,2.00,1.00,"[""HDTV with Netflix"", ""Dining table"", ""Ceiling fan"", ""Room-darkening shades"", ""Fast wifi \u2013 154 Mbps"", ""Hot water"", ""Mosquito net"", ""Safe"", ""Refrigerator"", ""Microwave"", ""Stainless steel gas stove"", ""Body soap"", ""Kitchen"", ""Cleaning products"", ""Host greets you"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Paid street parking off premises"", ""Shampoo"", ""Iron"", ""Single level home"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Toaster"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Cooking basics""]",905.00,216.00,195480.00,4.85,4.86,4.89,4.83,4.94
8,Cuauhtémoc,19.4233500,-99.1696300,Entire condo,Entire home/apt,2,1.00,1.00,1.00,"[""HDTV with Netflix"", ""Laundromat nearby"", ""Self check-in"", ""Private backyard"", ""Ceiling fan"", ""Room-darkening shades"", ""Private patio or balcony"", ""Hot water"", ""Refrigerator"", ""Safe"", ""Body soap"", ""Kitchen"", ""Lockbox"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Paid street parking off premises"", ""Shampoo"", ""Iron"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Toaster"", ""Fast wifi \u2013 349 Mbps"", ""Blender"", ""Hair dryer"", ""Other gas stove"", ""Coffee maker"", ""Dishes and silverware"", ""Cooking basics""]",1056.00,144.00,152064.00,4.86,4.86,4.90,4.83,4.94
9,Cuauhtémoc,19.4351600,-99.1380600,Entire rental unit,Entire home/apt,1,1.00,1.00,1.00,"[""Private entrance"", ""Heating"", ""Room-darkening shades"", ""Elevator"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Body soap"", ""Cleaning products"", ""Host greets you"", ""Extra pillows and blankets"", ""Breakfast"", ""Luggage dropoff allowed"", ""Paid parking lot off premises"", ""Shampoo"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Hot water kettle"", ""Paid parking garage on premises \u2013 1 space"", ""Hair dryer"", ""Coffee maker"", ""First aid kit"", ""Portable fans"", ""Conditioner""]",758.00,168.00,127344.00,4.91,4.97,4.98,4.93,4.94
10,Miguel Hidalgo,19.4066300,-99.1865300,Entire home,Entire home/apt,14,4.00,9.00,4.50,"[""Self check-in"", ""Heating"", ""Keypad"", ""Dedicated workspace"", ""Patio or balcony"", ""Wifi"", ""High chair"", ""Hot water"", ""Children\u2019s books and toys"", ""Pocket wifi"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""BBQ grill: charcoal"", ""Babysitter recommendations"", ""Kitchen"", ""Stove"", ""Free parking on premises"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Free street parking"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""Shower gel"", ""Bathtub"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Crib"", ""Ethernet connection"", ""TV with standard cable"", ""Freezer"", ""Toaster"", ""Smoking allowed"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Backyard"", ""Dryer"", ""Pets allowed""]",3494.00,12.00,41928.00,4.91,4.88,4.78,4.91,4.94
